,tag,quadrat.x,stem.x,sp,lx,ly,dbh.2013.x,cored_2009,status.2013,status.2014,status.2015,status.2016,status.2017,dbh.if.dead
1710,32505,331,1,nysy,13.2,14.3,194.5,1,A,A,A,A,A,
1725,32516,332,1,quru,8.4,0.8,387,1,A,A,A,A,A,
1751,40024,401,1,juni,6.9,12.6,284.2000122,1,A,A,A,A,A,
1752,40024,401,1,juni,6.9,12.6,284.2000122,1,A,A,A,A,A,
1788,40112,402,1,caco,0,9.7,289,1,A,A,A,A,A,
1800,40131,403,1,fram,5.2,1,674,1,A,A,A,A,A,
1820,40464,404,1,qupr,8.7,13.3,200,1,A,A,A,A,A,
1824,40479,405,1,fagr,1.6,0,165,1,A,A,A,A,A,
1825,40480,405,1,fagr,2.2,1.3,175.3999939,1,A,A,A,A,A,
1826,40485,405,1,fagr,7.5,5.8,184.5,1,A,A,A,A,A,
1828,40493,405,1,fagr,9.3,8.9,166.5,1,A,A,A,A,A,
1838,40522,404,1,cagl,14.1,15.6,238.5,1,A,A,A,A,A,
1841,40529,405,1,qupr,13.8,0.4,502,1,A,A,A,A,A,
1843,40533,405,1,quve,19,3.8,507.7999878,1,A,A,A,A,A,
1844,40535,405,1,fagr,13.2,9.5,166.5,1,A,A,A,A,A,
1845,40536,405,1,fagr,18.7,8.1,134.8000031,1,A,A,A,A,A,
1846,40538,405,1,qupr,18.5,12.7,542.5,1,A,A,A,A,A,
1847,40538,405,1,qupr,18.5,12.7,542.5,1,DS,PD,A,A,A,
1852,40549,406,1,fagr,15.8,0.9,174.8000031,1,A,A,A,A,A,
1853,40550,406,1,cato,18.9,2,268.7999878,1,A,A,A,A,A,
1854,40554,406,1,fagr,18,10.3,430.5,1,A,A,A,A,A,
1857,40563,406,1,fagr,3.6,17.8,365,1,A,A,A,A,A,
1872,40585,408,1,fagr,4.6,8.6,161,1,A,A,A,A,A,
1873,40586,408,1,qupr,6.9,9.2,148.1000061,1,A,A,A,A,A,
1895,40649,409,1,quru,15.1,0.6,606.4000244,1,A,A,A,A,A,
1897,40662,409,1,caco,19.4,13.2,174,1,A,A,A,A,A,
1913,40717,410,1,qual,5.2,1.8,257,1,A,A,A,A,A,
1934,40853,411,1,fram,14.5,19,427.5,1,A,A,A,A,AU,
1935,40853,411,1,fram,14.5,19,427.5,1,A,A,A,A,AU,
1936,40853,411,1,fram,14.5,19,427.5,1,A,A,A,A,AU,
1942,40873,412,1,fagr,15.9,13.4,325,1,A,A,A,A,A,
1943,40873,412,1,fagr,15.9,13.4,325,1,A,A,A,A,A,
1953,40889,413,1,fagr,14.9,4.2,144,1,A,A,A,A,A,
1996,40952,414,1,caco,11.5,7.3,616.2000122,1,A,A,A,AU,DS,613
2003,40969,415,1,tiam,4.6,6.6,304.5,1,A,A,A,AU,AU,
2004,40969,415,1,tiam,4.6,6.6,304.5,1,A,A,A,AU,AU,
2046,42001,417,1,acru,4.5,2.1,395.5,1,A,A,A,A,A,
2093,42087,419,1,tiam,10.8,13.1,183,1,A,A,A,A,A,
2097,42092,420,1,quru,10.1,0.4,446,1,A,A,A,A,A,
2106,42109,420,1,cato,19.6,15.3,180.1999969,1,A,A,A,A,A,
2139,42207,423,1,quve,4,2.5,213,1,A,A,A,A,A,
2160,42248,424,1,quve,0.5,2.5,792,1,A,A,A,A,AU,
2175,42283,425,1,quve,2.3,9.9,483,1,A,A,A,A,A,
2178,42287,425,1,litu,3.9,3.3,255,1,A,A,A,A,A,
2190,42304,425,1,quve,3.4,11.2,359.7999878,1,A,A,A,DS,PD,367
2218,42362,427,1,qual,0.8,8.3,356,1,A,A,A,A,A,
2227,42382,427,1,cato,0.7,19.8,183.8000031,1,A,A,A,A,A,
2228,42383,427,1,cagl,2.7,19.5,208.5,1,A,A,A,A,A,
2232,42389,428,1,qupr,1.2,5.1,375,1,A,A,A,A,A,
2234,42393,428,1,caovl,20,3,406.1000061,1,A,A,A,A,A,
2236,42395,428,1,cato,16.7,5.7,165.3000031,1,A,A,A,A,A,
2266,42544,430,1,litu,11.5,13,312.5,1,A,A,A,A,A,
2277,42566,431,1,caovl,18.5,10.5,502.5,1,A,A,A,A,A,
2295,42588,432,1,caovl,2,3.3,281,1,A,A,A,A,A,
2296,42590,432,1,caovl,17.1,5.8,154,1,A,A,A,A,A,
2321,50046,501,1,quru,16.9,12.9,278.1000061,1,A,A,A,A,A,
2333,50172,503,1,caovl,6.7,6.2,239.8000031,1,A,A,A,A,A,
2348,50206,502,1,cato,17,8.3,270,1,A,A,A,A,A,
2365,50234,504,1,qual,15.4,0.5,275.5,1,A,A,A,A,A,
2367,50244,504,1,cagl,10.7,7.8,248.5,1,A,A,A,A,A,
2368,50246,504,1,cagl,9.7,9.3,263.5,1,A,A,A,A,A,
2372,50262,505,1,caovl,1.2,0.9,172,1,A,A,A,A,A,
2373,50267,504,1,cato,15.9,15.4,449,1,A,A,A,A,A,
2376,50274,505,1,quru,12.6,1.6,533,1,A,A,A,A,A,
2379,50281,505,1,litu,17.5,8.4,139,1,A,A,A,A,A,
2383,50299,506,1,fagr,13.9,2.3,191.6000061,1,A,A,A,A,A,
2384,50300,506,1,nysy,10.6,1.3,174.8000031,1,A,A,A,A,A,
2385,50301,505,1,fagr,3.4,1.2,113,1,A,A,A,A,A,
2393,50314,505,1,qual,7.2,17,412.7999878,1,A,A,A,A,A,
2396,50322,506,1,qual,4.1,0.3,499,1,A,A,A,A,A,
2397,50323,506,1,qupr,2.7,1.8,546.0999756,1,A,A,A,A,A,
2401,50330,506,1,fagr,9.5,8.1,157.8999939,1,A,A,A,A,A,
2403,50336,506,1,caovl,3.7,14.3,332.7999878,1,A,A,A,A,A,
2405,50339,506,1,cato,8.1,17.3,186.1000061,1,A,A,A,A,A,
2406,50340,506,1,fagr,7.7,17.8,162.3999939,1,A,A,A,A,A,
2418,50367,508,1,qupr,10.7,3,195.8000031,1,A,DS,PD,PD,PD,
2454,50404,506,1,quve,15,3.6,241.1999969,1,A,A,A,A,A,
2456,50406,506,1,litu,17.9,7.1,351.7999878,1,A,A,A,A,A,
2459,50415,506,1,nysy,17.8,15.9,155.1999969,1,A,A,A,A,A,
2460,50416,506,1,nysy,18.2,17.7,433.5,1,A,A,A,A,A,
2462,50426,507,1,qual,14.1,9.5,323.6000061,1,A,A,A,A,A,
2466,50433,507,1,fagr,17.9,10.3,141.6999969,1,A,A,A,A,A,
2467,50434,507,1,qupr,18.5,16.7,125.5999985,1,A,A,A,DS,PD,126
2469,50442,507,1,caovl,9.4,18.2,406.1000061,1,A,A,A,A,A,
2474,50455,508,1,qual,19.5,18.5,333.8999939,1,A,A,A,A,A,
2486,50474,509,1,litu,14.5,18,317.6000061,1,A,A,PD,PD,PD,
2487,50474,509,1,litu,14.5,18,317.6000061,1,DN,PD,PD,PD,PD,
2495,50483,510,1,qupr,7.6,11.1,452,1,A,A,A,A,A,
2508,50499,511,1,quru,7.7,12,624.7000122,1,A,A,A,A,A,
2509,50506,510,1,quru,1.3,12.9,281,1,DS,PD,PD,PD,PD,
2513,50517,511,1,qual,2.4,15.2,169.8999939,1,A,A,A,A,AU,
2519,50527,512,1,cagl,5.3,12.7,470.7000122,1,A,A,A,A,A,
2533,50555,513,1,litu,8.6,15.8,490,1,A,A,A,A,A,
2534,50555,513,1,litu,8.6,15.8,490,1,A,A,A,A,A,
2538,50557,513,1,fagr,9.2,18.4,279.7000122,1,A,A,A,A,A,
2539,50559,514,1,fagr,5.6,7.6,226.6999969,1,A,A,A,A,A,
2543,50563,514,1,fagr,2.6,14.9,265.7000122,1,A,A,A,A,A,
2551,50575,515,1,nysy,6.9,16.8,228.8000031,1,A,A,A,A,A,
2552,50575,515,1,nysy,6.9,16.8,228.8000031,1,A,A,A,A,A,
2591,50652,514,1,fagr,9.1,14.9,200.3999939,1,A,A,A,A,A,
2613,52010,517,1,fagr,9.9,5.7,161.3999939,1,A,A,A,A,A,
2622,52028,517,1,ulru,0.3,15.3,153,1,DS,PD,PD,PD,PD,
2630,52052,518,1,tiam,10.9,18.6,197.1000061,1,A,A,A,A,A,
2636,52064,519,1,cagl,7.1,2.9,319.5,1,A,A,A,A,A,
2645,52087,519,1,quru,1.1,11.1,1451,1,A,A,A,A,A,
2652,52111,520,1,qual,15.1,1.4,516,1,A,A,A,A,A,
2657,52124,520,1,cato,16.7,16.3,277.2000122,1,A,A,DS,PD,PD,281
2659,52130,520,1,fagr,5.9,14.1,177.1999969,1,A,A,A,A,A,
2683,52195,522,1,nysy,19,9.4,247.5,1,A,A,A,A,A,
2710,52250,524,1,cagl,12.5,12.2,605.9000244,1,A,A,A,A,A,
2719,52270,525,2,caovl,11.8,5.5,169.6000061,1,A,A,A,A,A,
2720,52270,525,2,caovl,11.8,5.5,169.6000061,1,A,A,A,A,A,
2725,52276,525,1,quve,7.3,10.7,828.9000244,1,A,DS,PD,PD,PD,
2732,52287,526,1,quru,4,8.5,676.5,1,A,A,A,A,A,
2761,52323,527,1,qupr,18.2,12.1,496.1000061,1,A,A,A,A,A,
2790,52369,529,1,cato,11.3,3,231.8999939,1,A,A,A,A,A,
2797,52388,530,1,litu,7.4,6.9,255.5,1,A,A,A,A,A,
2805,52403,530,1,quve,6.6,17.7,777.5,1,A,A,A,A,A,
2832,52462,532,1,qupr,18,10.4,373,1,A,A,A,A,A,
2839,60003,601,1,caco,12.3,2.6,229.5,1,A,A,A,A,A,
2847,60016,601,1,qual,12.9,11.7,521,1,A,A,A,A,A,
2851,60023,602,1,qupr,14.3,2.3,164.6999969,1,A,A,A,A,A,
2864,60059,603,1,cagl,14,13.6,545.4000244,1,A,A,A,A,A,
2865,60060,603,1,qual,13.3,14.8,231.6999969,1,A,A,A,AU,DS,247
2870,60078,604,1,qual,18,17.8,626.7999878,1,A,A,A,A,A,
2872,60083,604,1,litu,15.9,19.6,192.8999939,1,A,A,A,A,A,
2873,60086,605,1,fagr,10.7,0.8,186.1999969,1,A,A,A,A,A,
2884,60111,605,1,fagr,10.4,14.6,435,1,A,A,A,A,A,
2886,60116,606,1,quru,14.4,4.2,391,1,A,A,A,A,A,
2887,60121,606,1,qual,16.2,7.7,709,1,A,A,A,A,A,
2888,60124,606,1,caovl,14.2,15.8,300,1,A,A,A,A,A,
2889,60125,606,1,litu,19.6,15.8,105,1,A,A,A,A,A,
2892,60129,606,1,fagr,9.5,17.4,159.8999939,1,A,A,A,A,A,
2893,60130,606,1,litu,5.6,18.4,170,1,A,A,A,A,A,
2896,60135,607,1,fagr,16.6,3.5,134,1,A,A,A,A,A,
2903,60143,607,1,quru,16.2,13.9,288.7000122,1,A,A,A,A,A,
2904,60145,607,1,fagr,13,16.1,219.5,1,A,A,A,A,A,
2906,60160,608,1,cato,20,12,165.8000031,1,A,A,A,A,A,
2907,60161,608,1,qupr,17.5,11.7,867,1,A,A,A,A,A,
2911,60172,609,1,cagl,15.4,2.5,264,1,A,A,A,A,A,
2915,60187,609,1,qupr,10,11.5,623.4000244,1,A,A,A,A,A,
2930,60210,601,1,qual,4.2,14.8,221.8000031,1,A,A,A,A,A,
2945,60252,604,1,cagl,6.5,0.2,204.8000031,1,A,A,A,A,A,
2949,60266,604,1,cato,5.5,9.2,504.1000061,1,A,A,A,A,A,
2952,60275,604,1,nysy,7.1,19.7,176.1000061,1,A,A,A,A,A,
2955,60287,605,1,litu,2.1,9,454,1,A,A,A,A,A,
2956,60295,605,1,fagr,3.2,14.2,125.1999969,1,A,A,A,A,A,
2961,60315,606,1,qual,1.8,12.2,548,1,A,A,A,A,A,
2964,60327,607,1,qupr,7.6,6.9,519,1,A,A,A,A,A,
2965,60331,607,1,qual,3.3,8.3,441,1,A,A,A,A,A,
2968,60339,607,1,fagr,6.2,7.6,171.3999939,1,A,A,A,A,A,
2969,60345,608,1,quru,3.8,3.5,226.8999939,1,A,A,A,A,A,
2973,60348,608,1,qupr,4.2,7.4,588.2999878,1,A,A,A,A,A,
2974,60348,608,1,qupr,4.2,7.4,588.2999878,1,A,A,A,A,A,
2975,60349,608,1,cato,7.4,7.4,261.2999878,1,A,A,A,A,A,
2977,60353,608,1,quru,12.3,13.1,418.1000061,1,A,A,A,A,A,
2979,60358,608,1,caovl,0.1,7.3,246.1000061,1,A,A,A,A,A,
2982,60377,609,1,qual,2.7,8.9,449,1,A,A,A,A,A,
2986,60386,609,1,cagl,7.6,17.4,292.5,1,A,A,A,A,A,
2993,60414,611,1,quru,4.2,0,912,1,DS,PD,PD,PD,PD,
2997,60426,612,1,fagr,2.6,3,301.8999939,1,A,A,A,A,A,
3000,60431,612,1,caco,3.6,17.2,180.1000061,1,A,A,A,A,A,
3010,60449,614,1,acru,7.8,4.7,157,1,A,A,A,A,A,
3024,60467,615,1,fagr,1.2,14.7,193.8000031,1,A,A,A,A,A,
3033,60486,616,1,fagr,6,15.7,171.1999969,1,A,A,A,A,A,
3034,60487,616,1,tiam,1.5,19,231.6999969,1,A,A,A,A,A,
3046,60522,611,1,quru,13.2,16.7,290.5,1,A,A,A,A,A,
3062,60549,613,1,quve,15.6,8.1,410,1,A,A,A,A,A,
3063,60550,613,1,quru,19.4,10,538.4000244,1,A,A,A,A,A,
3066,60555,613,1,acru,19.8,9.7,284.6000061,1,A,A,A,A,A,
3069,60560,614,1,ulru,14.3,5.5,278.1000061,1,DS,PD,PD,PD,PD,
3084,60588,615,1,caco,13.4,7.3,292.2999878,1,A,A,A,A,A,
3088,60596,616,1,fagr,16,3.8,201.1999969,1,A,A,A,A,A,
3092,62007,617,1,quve,1.2,8.4,468.7000122,1,A,A,A,A,A,
3095,62019,617,1,quru,19,9.8,736.9000244,1,A,A,A,A,A,
3147,62139,620,1,caovl,12.6,4.5,203.6000061,1,A,A,A,A,A,
3148,62144,620,1,litu,16.5,17.4,744.5,1,A,A,A,A,A,
3150,62148,620,1,qual,10.4,14.8,349.7999878,1,A,A,A,A,A,
3157,62162,621,1,cagl,2.3,8.7,183.5,1,A,A,A,A,A,
3164,62173,621,1,nysy,10.3,1.7,167.8000031,1,A,A,A,A,A,
3176,62190,622,1,cagl,8.1,9.5,199.8000031,1,A,A,A,A,A,
3190,62234,623,1,cagl,9.7,7.1,191.5,1,A,A,A,A,A,
3199,62248,623,1,litu,20,18.6,226.1999969,1,A,A,A,A,A,
3221,62281,624,1,quru,3.2,12.3,817.2000122,1,A,A,A,A,A,
3239,62306,625,1,cato,1.3,15.9,328,1,A,A,A,A,A,
3246,62313,626,1,cato,18.9,3.6,206.1999969,1,A,A,A,A,A,
3248,62315,626,1,cagl,15.6,7.9,201.1000061,1,A,A,A,A,A,
3286,62372,628,1,quru,15.2,16.9,549,1,A,A,A,A,A,
3287,62373,628,1,qupr,14,12.4,283,1,A,A,A,A,A,
3289,62376,628,1,cagl,8.6,11.9,354.6000061,1,A,A,A,A,DS,374
3337,62445,632,1,cato,9.5,1.4,237.8000031,1,A,A,A,A,A,
3347,62464,632,1,nysy,4.1,16.1,244.1000061,1,A,A,A,A,A,
3351,70002,701,1,caco,6.6,3.6,511.5,1,A,A,A,A,A,
3360,70018,701,1,fagr,8.4,17,215.3999939,1,A,A,A,A,A,
3375,70065,703,1,cagl,5.8,8.5,194.8999939,1,A,A,A,A,A,
3376,70069,703,1,qual,4.9,11.4,676.5,1,A,A,A,A,A,
3383,70083,704,2,qupr,6.1,2.3,190.1999969,1,A,A,PD,PD,PD,
3384,70083,704,2,qupr,6.1,2.3,190.1999969,1,DS,PD,PD,PD,PD,
3386,70096,704,1,quru,3.3,12.7,866.9000244,1,A,A,A,A,A,
3392,70126,705,1,quru,9.3,12.5,821,1,A,A,A,A,A,
3398,70152,706,1,cagl,1.3,8.5,236.3999939,1,A,A,A,A,A,
3399,70159,706,1,qupr,3.3,16.7,367.1000061,1,A,A,A,A,A,
3400,70159,706,1,qupr,3.3,16.7,367.1000061,1,A,A,A,A,A,
3403,70162,706,1,caovl,6,19.8,477,1,A,A,A,A,A,
3413,70182,707,1,fagr,6.5,19.4,206.1000061,1,A,A,A,A,A,
3414,70184,708,1,qupr,0.2,0.9,135,1,A,A,A,A,A,
3420,70198,708,1,qupr,4.9,17.6,327.2000122,1,A,A,A,A,A,
3424,70207,701,1,acru,12.2,2.1,209.8000031,1,A,A,A,A,A,
