,tag,quadrat.x,stem.x,sp,lx,ly,dbh.2013.x,cored_2009,status.2013,status.2014,status.2015,status.2016,status.2017,dbh.if.dead
1,10001,101,1,ulsp,6.1,1,188.3000031,0,DC,PD,PD,PD,PD,
2,10001,101,1,ulsp,6.1,1,188.3000031,0,DC,PD,PD,PD,PD,
3,10001,101,2,ulsp,6.1,1,116.8000031,0,DC,PD,PD,PD,PD,
4,10001,101,2,ulsp,6.1,1,116.8000031,0,DC,PD,PD,PD,PD,
5,10006,101,1,juni,7.2,6.5,609,0,A,A,A,A,A,
6,10007,101,1,unk,7.4,9.4,178.8999939,0,DC,PD,PD,PD,PD,
7,10009,101,1,caco,3.6,10.8,262,0,A,A,A,A,A,
8,10010,101,1,juni,7.3,12.2,578,1,A,A,A,A,A,
9,10011,101,1,ulru,7.9,18.1,203.1000061,0,DS,PD,PD,PD,PD,
10,10013,102,1,fram,5.5,3.5,228,0,A,A,A,A,A,
11,10016,102,1,ceoc,5.8,2.8,233.1999969,0,A,A,A,A,A,
12,10019,102,1,ulru,1.9,7.2,137.1999969,0,DC,PD,PD,PD,PD,
13,10021,102,1,fram,5.1,10.1,160,0,A,A,A,A,A,
14,10035,103,1,acru,4.8,10.1,467,0,A,A,A,A,A,
15,10036,103,1,acru,6.2,9.5,420.7999878,0,A,A,A,A,A,
16,10037,103,1,acru,8.1,13.6,381.2000122,0,A,A,A,A,A,
17,10045,104,1,cato,0.6,1.2,228.1999969,0,A,A,A,A,A,
18,10053,104,1,acru,4.8,1.2,168.1000061,0,A,A,A,A,A,
19,10057,104,1,fram,6.2,9.7,184.8000031,0,DS,PD,PD,PD,PD,
20,10101,101,1,ulru,8.9,1.8,100.5,0,A,A,A,AU,DS,95.5
21,10109,101,1,caco,15.1,2,119,0,A,A,A,A,A,
22,10116,101,1,unk,12.5,10.1,163.6999969,0,DC,PD,PD,PD,PD,
23,10122,101,1,juni,15.6,13.6,815,1,A,A,A,A,A,
24,10129,101,1,ceoc,15.6,14.2,124.0999985,0,DC,PD,PD,PD,PD,
25,10130,101,1,ceoc,15.6,16.2,113,0,A,A,A,A,A,
26,10131,101,1,casp,15.6,18.4,242.1000061,0,DC,PD,PD,PD,PD,
27,10134,102,1,fram,16.8,7.3,503.5,0,A,A,A,A,AU,
28,10136,102,1,ceoc,15.1,7.6,156,0,A,A,A,A,A,
29,10139,102,1,ceoc,13.9,9.6,445,0,A,A,A,A,A,
30,10157,102,1,fram,4.3,18.9,474,0,A,A,A,A,AU,
31,10160,103,2,acru,11.5,2.6,591.0999756,1,A,A,A,A,A,
32,10160,103,2,acru,11.5,2.6,591.0999756,1,A,A,A,A,A,
33,10160,103,1,acru,11.5,2.6,623.5,1,A,A,A,A,A,
34,10160,103,1,acru,11.5,2.6,623.5,1,A,A,A,A,A,
35,10161,103,1,frni,18,6.1,126,0,A,A,DS,PD,PD,128
36,10162,103,1,unk,16.2,15.4,238.3999939,0,DC,PD,PD,PD,PD,
37,10163,103,1,litu,15.4,17.2,638.5,0,A,A,A,A,A,
38,10165,103,1,acru,12.9,18,442.8999939,0,A,A,A,A,A,
39,10166,103,1,frni,12.7,18.4,144.3000031,0,A,A,A,A,AU,
40,10178,104,2,frni,18.8,3.3,13,0,A,A,DN,PD,PD,
41,10178,104,1,frni,18.8,3.3,136.1000061,0,A,A,A,A,DS,135
42,10185,104,1,acru,10.9,2.7,559.2000122,1,A,A,A,A,A,
43,10186,104,1,qual,10.3,2.7,314.2000122,0,A,A,A,A,A,
44,10188,104,1,amar,11.8,4.5,143,0,A,A,A,A,A,
45,10189,104,1,acru,12.3,4.5,223.6999969,1,A,A,A,A,A,
46,10193,104,1,fram,17.7,12.3,340,0,A,A,A,A,AU,
47,10194,104,1,fagr,14.9,13.2,307.7999878,1,A,A,A,A,A,
48,10196,104,1,prse,17.2,17.9,191.1000061,0,A,A,A,A,A,
49,10197,104,1,ceca,17.3,19.1,210,0,A,A,A,A,A,
50,10205,104,1,fagr,11.8,15,106,0,A,A,A,AU,AU,
51,10213,104,1,fram,6.4,17.7,449,0,A,A,A,A,A,
52,10249,105,1,ulru,13.2,18.4,302,0,DC,PD,PD,PD,PD,
53,10251,105,1,fram,10.9,18.9,108.1999969,0,A,A,A,AU,AU,
54,10253,105,1,fram,8.7,18.8,251.8999939,0,DS,PD,PD,PD,PD,
55,10263,105,1,acne,1.1,15.9,105.1999969,0,A,A,A,A,A,
56,10263,105,1,acne,1.1,15.9,105.1999969,0,A,A,A,A,A,
57,10266,106,1,frni,18.4,1.9,169.1000061,0,DC,PD,PD,PD,PD,
58,10279,106,1,fram,17.5,8.3,125.0999985,0,A,A,A,A,A,
59,10280,106,1,nysy,19.7,12.3,247,0,A,A,A,A,A,
60,10284,106,1,ceca,15.7,3.2,153.1999969,0,A,A,A,A,A,
61,10285,106,1,fram,10.5,3.4,242.8999939,0,A,A,A,A,A,
62,10286,106,1,juni,9.5,3.4,218.5,0,DS,PD,PD,PD,PD,
63,10287,106,1,caca,13.9,12.9,181.1000061,0,A,A,A,A,A,
64,10292,106,1,ulru,9.4,13,170.8000031,0,A,A,A,DS,PD,179
65,10294,106,1,unk,11.4,7,215.5,0,DC,PD,PD,PD,PD,
66,10296,106,1,juni,9.7,9.2,571.5,1,A,A,A,A,A,
67,10346,106,1,acne,0.600000024,3,99.09999847,0,A,A,not sampled,A,A,
68,10367,106,1,unk,6.3,3.2,166.8999939,0,DS,PD,PD,PD,PD,
69,10401,106,1,caca,8.8,8.1,141.1000061,0,A,A,A,A,A,
70,10405,106,1,caca,6.1,14.5,118.9000015,0,A,A,A,A,A,
71,10416,106,1,ulsp,1.8,13.8,205.8000031,0,DS,PD,PD,PD,PD,
72,10424,106,1,caco,0.6,17,416.8999939,1,A,A,A,A,A,
73,10427,106,1,juni,1.5,12.8,271.3999939,0,A,A,A,A,A,
74,10433,107,1,caca,14,2.7,106.8000031,0,A,A,A,A,A,
75,10434,107,1,caco,20,1.7,181.5,0,A,A,A,A,A,
76,10436,107,1,fagr,10.3,8.2,561,0,A,A,A,A,A,
77,10440,107,1,fram,14.3,12.5,364.5,0,A,A,A,A,AU,
78,10443,107,1,caca,18.2,16.3,140.3999939,0,A,A,A,A,A,
79,10444,107,1,quru,14.8,15.9,101.6999969,0,A,A,A,A,A,
80,10445,107,1,acru,17.5,19.9,206.8000031,0,A,A,A,A,A,
81,10446,107,1,nysy,13.7,19.1,657.2000122,0,A,A,A,A,A,
82,10448,107,1,caca,9.2,15.5,138.1000061,0,A,A,A,A,A,
83,10449,107,1,unk,9.7,17,387.6000061,0,DC,PD,PD,PD,PD,
84,10452,107,1,cagl,11.2,13.4,451.1000061,0,A,A,A,A,A,
85,10454,107,1,cagl,4.6,17.4,238.8000031,0,A,A,A,A,A,
86,10457,108,1,qual,19.4,4.8,778.0999756,0,DC,PD,PD,PD,PD,
87,10461,108,1,caca,12.4,2.8,154.8000031,0,DN,PD,PD,PD,PD,
88,10462,108,1,caca,11.1,12.9,125.5,0,A,A,A,A,A,
89,10463,108,1,acru,10.6,13.8,154.3000031,0,A,A,A,A,A,
90,10464,108,1,cato,11.7,17.4,446.7000122,0,A,A,A,A,A,
91,10465,108,1,cato,11.4,18.2,139,0,A,A,A,A,A,
92,10466,108,1,caca,12.2,18.2,103.0999985,0,A,A,A,A,A,
93,10467,108,1,cato,12.5,19.9,218.8999939,0,A,A,A,A,A,
94,10468,108,1,fram,15.8,20,384.3999939,0,A,A,A,A,A,
95,10469,109,1,litu,9.7,1,838.7999878,0,A,A,A,A,A,
96,10470,109,1,caca,7.7,3.4,165,0,A,A,A,A,A,
97,10473,109,1,prse,13.8,2.2,330,0,A,A,A,A,A,
98,10474,109,1,caca,13.9,2.9,124.5,0,A,A,A,A,A,
99,10475,109,1,qual,17.4,4.6,132.1000061,0,A,A,A,A,A,
100,10479,109,1,caca,17.1,9.8,114.9000015,0,A,A,A,A,A,
101,10480,109,1,caco,12,7.4,143.1000061,0,A,A,A,A,A,
102,10481,109,1,litu,12,8.3,762.2000122,0,A,A,A,A,A,
103,10482,109,1,caca,9.5,7.6,119.8000031,0,A,A,A,DC,PD,120
104,10482,109,1,caca,9.5,7.6,119.8000031,0,A,A,A,DC,PD,120
105,10483,109,1,qual,12.7,9.1,144.3999939,0,A,A,A,A,A,
106,10484,109,1,acru,18.8,12.2,261.7999878,0,A,A,A,A,A,
107,10485,109,1,caca,17.6,12.5,138.8999939,0,A,A,A,A,AU,
108,10487,110,1,caca,1.9,3.7,125.3000031,0,A,A,A,A,A,
109,10488,110,1,acru,3.2,5.2,311.1000061,1,A,A,A,A,A,
110,10489,110,1,caca,11.5,3.8,111,0,A,A,A,A,A,
111,10491,110,1,havi,18.5,2.6,112,0,A,A,A,AU,AU,
112,10491,110,1,havi,18.5,2.6,112,0,A,A,A,AU,AU,
113,10492,110,1,caca,14.4,4.8,186.8999939,0,A,A,A,A,A,
114,10494,110,1,havi,19.2,6.3,124.0999985,0,A,A,A,A,AU,
115,10494,110,1,havi,19.2,6.3,124.0999985,0,A,A,A,A,AU,
116,10495,110,1,caovl,16.4,10.6,158.1000061,0,A,A,A,A,A,
117,10498,110,1,caca,11.8,11.8,139.8000031,0,A,A,A,A,A,
118,10517,107,1,quve,4.5,0.6,200,1,A,A,A,A,AU,
119,10518,107,1,caco,3.4,0.5,464.2000122,0,A,A,A,A,A,
120,10523,107,1,unk,6.8,3,526.0999756,0,DC,PD,PD,PD,PD,
121,10526,107,1,fram,6.1,14,164.8999939,0,A,A,A,A,A,
122,10527,107,1,caca,0.1,8.2,128.8000031,0,A,A,A,A,A,
123,10530,108,1,quve,4,2.1,419.6000061,0,A,A,A,A,A,
124,10531,108,1,caca,4.3,4.3,102,0,A,A,A,A,A,
125,10532,108,1,qual,5.7,5.2,234.8000031,0,A,A,DS,PD,PD,240
126,10534,108,1,fram,10.2,7.4,622.2000122,0,A,A,A,A,A,
127,10535,108,1,caca,5.6,5.3,168.5,0,A,A,A,A,A,
128,10536,108,1,cato,4.6,7.3,295.2000122,0,A,A,A,A,A,
129,10537,108,1,caca,4.6,8.2,192.1000061,0,A,A,A,A,A,
130,10539,108,1,fram,4.3,12,470.8999939,1,A,A,A,A,DS,472.5
131,10540,108,1,cagl,5.2,11.8,125.0999985,0,A,A,A,A,A,
132,10543,108,1,quru,7.9,15.4,309,0,A,A,A,A,A,
133,10544,108,1,unk,6.4,18.4,248.8999939,0,DS,PD,PD,PD,PD,
134,10545,108,1,caca,3.7,17,128.6000061,0,A,A,A,A,A,
