quadrat,tag,stem,sp,lx,ly,Cored_2009,codes.2013,dbh.2013,status.2015,status.2016,new.status,dbh.if.dead,perc.crown,crown.position,fad1,fad2,fad3,fad4,DF,liana.load,fraxinus.crown thinning,fraxinus.epicormic growth,EABF,VB,SS,AS,W,DE,DE.count,Comments,date,surveyor,
123,12219,1,acru,19.2,17.6,0,"M,L,P",133.6999969,A,AU,AU,,,,UP,,,,,,,,,,,,,,,Vertical branches alive,7/20/2017,Helcoski,
124,12252,1,acru,1.1,17.7,0,,163.5,A,A,A,,,,,,,,,,,,,,,,,,,,7/20/2017,Helcoski,
126,12311,1,acru,14.3,9.4,0,,424,A,A,AU,,,,DF,K,,,3,,,,,,,,,,,,7/20/2017,Helcoski,
126,12313,1,acru,12.5,5.1,0,,297.5,A,A,A,,,,,,,,,,,,,,,,,,,,7/20/2017,Helcoski,
126,12317,1,acru,12.6,17.2,1,,388.2000122,A,A,A,,,,,,,,,,,,,,,,,,,,7/20/2017,Helcoski,
126,12318,1,acru,12.3,18.2,0,,350,A,A,A,,,,,,,,,,,,,,,,,,,,7/20/2017,Helcoski,
126,12323,1,acru,4.4,17.3,0,,388.5,A,A,A,,,,,,,,,,,,,,,,,,,,7/20/2017,Helcoski,
203,20151,1,acru,11.5,5.8,1,"M,A",339.2000122,PD,PD,PD,,,,,,,,,,,,,,,,,,,Dead in 2014.,7/21/2017,Helcoski,
203,20151,2,acru,11.5,5.8,1,"S,A",285.2000122,DS,PD,PD,250,1,OG,B,,,,,0,,,,,,,,,,Broken on top and feeding branch ,7/21/2017,Helcoski,
203,20182,1,acru,1.4,16.1,0,L,376.1000061,A,A,A,,,,UP,,,,,,,,,,,,,,,uprooted alive,7/21/2017,Helcoski,
208,20586,1,acru,7,1.7,0,"DS,X",288.7999878,PD,PD,PD,,,,,,,,,,,,,,,,,,,,7/21/2017,Helcoski,
208,20586,2,acru,7,1.7,1,B,230.1000061,A,A,AU,,,,R,,,,,,,,,,,,,,,,7/21/2017,Helcoski,
209,20625,1,acru,17.2,5.6,0,"M,L",170.1999969,A,A,A,,,,,,,,,,,,,,,,,,,,7/21/2017,Helcoski,
209,20633,1,acru,7.2,18.1,0,,290.5,A,A,A,,,,,,,,,,,,,,,,,,,,7/21/2017,Helcoski,
218,22068,1,acru,13.3,15.1,0,DC,134.8999939,PD,PD,PD,,,,,,,,,,,,,,,,,,,,7/21/2017,Helcoski,
219,22100,1,acru,16.7,12.5,0,,161,A,A,A,,,,,,,,,,,,,,,,,,,,7/21/2017,Helcoski,
222,22214,1,acru,6.4,20,0,,399.5,A,A,A,,,,,,,,,,,,,,,,,,,,7/21/2017,Helcoski,
223,22224,1,acru,2.6,7,0,M,106.1999969,A,AU,AU,,,,B,R,,,,,,,,,,,,,,Stem hollow and split in half,7/21/2017,Helcoski,
223,22247,1,acru,9.1,15.7,0,,263,A,A,A,,,,,,,,,,,,,,,,,,,,7/21/2017,Helcoski,
224,22253,1,acru,5,0.4,1,,431.5,A,A,A,,,,,,,,,,,,,,,,,,,,7/21/2017,Helcoski,
224,22264,1,acru,18.5,7.7,0,,473,A,A,A,,,,,,,,,,,,,,,,,,,,7/21/2017,Helcoski,
225,22298,1,acru,8.5,5.2,0,,286.2999878,A,A,A,,,,,,,,,,,,,,,,,,,,7/21/2017,Helcoski,
231,22615,1,acru,1.3,12.5,0,,134,A,A,A,,,,,,,,,,,,,,,,,,,,7/20/2017,Helcoski,
303,30154,1,acru,13.8,0.8,0,,360,A,A,A,,,,,,,,,,,,,,,,,,,,7/17/2017,Helcoski/Prestipino,
308,30381,1,acru,16.1,12.3,1,,329.7999878,A,A,A,,,,,,,,,,,,,,,,,,,,7/25/2017,Helcoski,
311,30266,1,acru,6.7,17.9,0,,452,A,A,A,,,,,,,,,,,,,,,,,,,,7/25/2017,Helcoski,
311,30266,2,acru,6.7,17.9,0,DS,164.1000061,PD,PD,PD,,,,,,,,,,,,,,,,,,,,7/25/2017,Helcoski,
313,30446,1,acru,17.4,1.9,0,,167.5,A,A,A,,,,,,,,,,,,,,,,,,,leaning,7/25/2017,Helcoski,
313,30448,1,acru,11.9,5.5,0,,363,A,A,A,,,,,,,,,,,,,,,,,,,,7/25/2017,Helcoski,
313,30452,1,acru,18.2,12.7,0,,207.1000061,A,A,A,,,,,,,,,,,,,,,,,,,,7/25/2017,Helcoski,
313,30453,1,acru,17.9,12.8,0,,134.1999969,A,A,A,,,,,,,,,,,,,,,,,,,,7/25/2017,Helcoski,
313,30461,1,acru,16.6,19,0,,174.8000031,A,A,A,,,,,,,,,,,,,,,,,,,,7/25/2017,Helcoski,
314,30481,1,acru,17.5,10,0,,154.5,A,A,A,,,,,,,,,,,,,,,,,,,,7/25/2017,Helcoski,
318,32046,1,acru,9,9.3,0,,116.9000015,A,A,A,,,,,,,,,,,,,,,,,,,,7/25/2017,Helcoski,
319,32071,1,acru,8,9.6,0,,144.8000031,A,A,A,,,,,,,,,,,,,,,,,,,x = 8,7/25/2017,"Helcoski, Ferson",
319,32072,1,acru,9,8,0,,213,A,A,A,,,,,,,,,,,,,,,,,,,x = 9 ,7/25/2017,"Helcoski, Ferson",
319,32077,1,acru,11.2,3.4,0,DC,134.1000061,A,A,A,,,,,,,,,,,,,,,,,,,DC is wrong!,7/25/2017,"Helcoski, Ferson",
319,32077,2,acru,11.2,3.4,0,M,127.9000015,A,A,A,,,,B,,,,,,,,,,,,,,,break at ?2.5m,7/25/2017,"Helcoski, Ferson",
319,32082,1,acru,10.9,10.5,0,,216,A,A,A,,,,,,,,,,,,,,,,,,,coordinates wrong,7/25/2017,"Helcoski, Ferson",
411,40794,1,acru,11.7,0.9,0,,113.8000031,A,AU,AU,,,,UP,,,,,,,,,,,,,,,On the ground; Vertical shoots growing out of stem,7/27/2017,Prestipino,
413,40892,1,acru,13.5,8.3,0,,203.5,A,A,A,,,,,,,,,,,,,,,,,,,,7/27/2017,Prestipino,
414,40942,1,acru,2.2,2,0,,395.8999939,A,A,A,,,,,,,,,,,,,,,,,,,,7/27/2017,Prestipino,
414,40943,1,acru,3.8,4.9,0,,162.5,PD,PD,PD,,,,,,,,,,,,,,,,,,,Dead in 2014.,7/27/2017,Prestipino,
414,40955,1,acru,4.2,10.5,0,,308.7000122,A,A,A,,,,,,,,,,,,,,,,,,,,7/27/2017,Prestipino,
415,40963,1,acru,12.1,1.2,0,,235.8999939,A,A,A,,,,,,,,,,,,,,,,,,,,7/27/2017,Prestipino,
417,42001,1,acru,4.5,2.1,1,,395.5,A,A,A,,,,,,,,,,,,,,,,,,,,7/26/2017,Prestipino,
417,42003,1,acru,4,3.9,0,L,162.5,A,A,A,,,,,,,,,,,,,,,,,,,,7/26/2017,Prestipino,
418,42051,1,acru,17.7,1.5,0,,115.8000031,A,A,A,,,,,,,,,,,,,,,,,,,,7/26/2017,Prestipino,
501,50017,1,acru,5.3,6,0,M,100.8000031,A,A,AU,,,,,,,,,4,,,,,,,,,,,7/15/2017,Ferson,
508,50446,1,acru,19,2.4,0,DS,116.4000015,PD,PD,PD,,,,,,,,,,,,,,,,,,,,7/17/2017,Prestipino,
515,50660,1,acru,17.9,15.6,0,DC,524.2000122,PD,PD,PD,,,,,,,,,,,,,,,,,,,,7/28/2017,Prestipino,
516,50576,1,acru,8.8,2.3,0,"M,J",118.4000015,A,A,A,,,,,,,,,,,,,,,,,,,,7/28/2017,Prestipino,
516,50666,1,acru,11,1.2,0,,108.5,A,A,A,,,,,,,,,,,,,,,,,,,,7/28/2017,Prestipino,
523,52222,1,acru,11.7,2.7,0,,124.5,A,A,A,,,,,,,,,,,,,,,,,,,,8/8/2017,"Prestipino, Helcoski",
527,52334,1,acru,5.4,17.4,0,,107.4000015,A,A,A,,,,,,,,,,,,,,,,,,,,8/8/2017,"Prestipino, Helcoski",
613,60447,1,acru,0.7,19,0,P,213.1999969,DC,PD,PD,224,1,I,B,,,,,0,,,,,,,,,,B at base,8/8/2017,Helcoski,
613,60555,1,acru,19.8,9.7,1,,284.6000061,A,A,A,,,,,,,,,,,,,,,,,,,,8/8/2017,Helcoski,
614,60449,1,acru,7.8,4.7,1,,157,A,A,A,,,,,,,,,,,,,,,,,,,,8/8/2017,Helcoski,
620,62129,1,acru,4.5,6.1,0,,113.9000015,A,A,A,,,,,,,,,,,,,,,,,,,,8/8/2017,Helcoski,
701,70013,1,acru,0,10.8,0,,172,A,A,A,,,,,,,,,,,,,,,,,,,,6/22/2017,Ferson,
701,70207,1,acru,12.2,2.1,1,,209.8000031,A,A,A,,,,,,,,,,,,,,,,,,,,6/22/2017,Ferson,
707,70173,1,acru,3.7,8.1,0,,157,A,A,A,,,,,,,,,,,,,,,,,,,,6/22/2017,Ferson,
707,70351,1,acru,19.7,10.9,0,,157,A,A,A,,,,,,,,,,,,,,,,,,,,6/22/2017,Ferson,
715,70604,1,acru,16.6,8.8,0,,136.6000061,A,A,A,,,,,,,,,,,,,,,,,,,,6/22/2017,Ferson,
715,70655,1,acru,7.5,17.1,0,,108.4000015,A,A,A,,,,,,,,,,,,,,,,,,,,6/22/2017,Ferson,
719,72121,1,acru,18.9,16.6,0,,110,A,A,A,,,,,,,,,,,,,,,,,,,,6/20/2017,Anderson-Teixeira,
720,72158,1,acru,13.1,12.5,0,L,114.3000031,A,A,A,,,,,,,,,,,,,,,,,,,,6/20/2017,Anderson-Teixeira,
728,72364,1,acru,12,0.3,0,L,110.1999969,PD,PD,PD,,,,,,,,,,,,,,,,,,,Dead in 2014.,6/20/2017,Anderson-Teixeira,
801,80008,1,acru,1.1,16.5,0,,159,A,A,AU,,,,DF,R,,,1,,,,,,,,,,,main stem dead,6/20/2017,Prestipino/Ferson,
804,80095,1,acru,2.4,6.2,0,,105.3000031,A,A,A,,,,,,,,,,,,,,,,,,,,6/20/2017,Prestipino/Ferson,
805,80221,1,acru,3.5,12.2,0,,200.1000061,A,A,A,,,,,,,,,,,,,,,,,,,,6/20/2017,Prestipino/Ferson,
805,80221,2,acru,3.5,12.2,0,,108,A,A,A,,,,,,,,,,,,,,,,,,,,6/20/2017,Prestipino/Ferson,
807,80348,1,acru,16.1,4.3,0,,152,A,A,A,,,,,,,,,,,,,,,,,,,,6/20/2017,Prestipino/Ferson,
809,80469,1,acru,4,4.3,0,,117.9000015,A,AU,AU,,,,UP,,,,,,,,,,,,,,,Possible CR by 80479,6/20/2017,Prestipino/Ferson,
813,80525,1,acru,13.8,2.1,0,L,129,A,AU,AU,,,,B,DF,,,,,,,,,,,,,,steam break at ?5.5 m,6/20/2017,Prestipino/Ferson,
815,80580,1,acru,19.8,10.2,1,,323,A,A,A,,,,,,,,,,,,,,,,,,,,6/19/2017,"Gonzalez, Tepley, Anderson-Teixeira",
816,80769,1,acru,11.4,5.9,1,,224,A,A,A,,,,,,,,,,,,,,,,,,,,6/19/2017,"Gonzalez, Tepley, Anderson-Teixeira",
816,80772,1,acru,17.9,14.9,0,M,269,A,A,A,,,,,,,,,,,,,,,,,,,,6/19/2017,"Gonzalez, Tepley, Anderson-Teixeira",
816,80774,1,acru,13.8,16.6,1,,311.1000061,A,A,A,,,,,,,,,,,,,,,,,,,,6/19/2017,"Gonzalez, Tepley, Anderson-Teixeira",
817,82010,1,acru,4.6,8.4,0,,152.3999939,A,A,A,,,,,,,,,,,,,,,,,,,,6/19/2017,"Gonzalez, Tepley, Anderson-Teixeira",
817,82025,1,acru,15.8,10.2,0,,113.1999969,A,A,A,,,,,,,,,,,,,,,,,,,,6/19/2017,"Gonzalez, Tepley, Anderson-Teixeira",
817,82027,1,acru,19.7,12.1,0,,160.6000061,A,A,A,,,,,,,,,,,,,,,,,,,,6/19/2017,"Gonzalez, Tepley, Anderson-Teixeira",
819,82113,1,acru,18.9,12.3,0,,227.3000031,A,A,A,,,,,,,,,,,,,,,,,,,,6/19/2017,"Gonzalez, Tepley, Anderson-Teixeira",
820,82137,1,acru,0.7,4.4,0,"DS,B",233.6000061,PD,PD,PD,,,,,,,,,,,,,,,,,,,,6/19/2017,"Gonzalez, Tepley, Anderson-Teixeira",
820,82139,1,acru,16.8,2.7,0,M,272.5,A,A,A,,,,,,,,,,,,,,,,,,,,6/19/2017,"Gonzalez, Tepley, Anderson-Teixeira",
820,82139,2,acru,16.8,2.7,0,S,112.5999985,A,A,A,,,,,,,,,,,,,,,,,,,,6/19/2017,"Gonzalez, Tepley, Anderson-Teixeira",
825,82265,1,acru,7.5,5.5,0,,139.8000031,A,A,A,,,,,,,,,,,,,,,,,,,,6/20/2017,Prestipino/Ferson,
828,82347,1,acru,18,0.2,1,,181.3000031,A,A,A,,,,,,,,,,,,,,,,,,,,6/20/2017,Prestipino/Ferson,
828,82359,1,acru,0.8,15.8,0,,103.9000015,A,A,A,,,,,,,,,,,,,,,,,,,,6/20/2017,Prestipino/Ferson,
829,82372,1,acru,19.9,14.6,0,,108.6999969,A,A,A,,,,,,,,,,,,,,,,,,,,6/20/2017,Prestipino/Ferson,
901,90012,1,acru,7.1,14.6,0,,149.8000031,A,A,A,,,,,,,,,,,,,,,,,,,,7/11/2017,Prestipino/Ferson/Gonzalez,
902,90065,1,acru,8.6,11.6,0,,261.2000122,A,A,A,,,,,,,,,,,,,,,,,,,,7/11/2017,Prestipino/Ferson/Gonzalez,
904,90288,1,acru,16.4,3.6,0,,163.3000031,A,A,A,,,,,,,,,,,,,,,,,,,,7/11/2017,Prestipino/Ferson/Gonzalez,
906,91413,1,acru,4.1,17.7,0,,175.6000061,A,A,A,,,,,,,,,,,,,,,,,,,,7/11/2017,Prestipino/Ferson/Gonzalez,
907,91333,1,acru,5.2,12.2,0,,111.5,A,A,A,,,,,,,,,,,,,,,,,,,,7/11/2017,Prestipino/Ferson/Gonzalez,
911,90541,1,acru,11.1,10.3,0,A,114.5999985,A,A,A,,,,,,,,,,,,,,,,,,,,7/11/2017,Prestipino/Ferson,
914,90598,1,acru,15,17.6,0,,204.3000031,A,A,A,,,,,,,,,,,,,,,,,,,B,7/31/2017,FONZ nature camp,
916,90719,1,acru,0.9,18.9,0,,183.1999969,A,A,A,,,,,,,,,,,,,,,,,,,,7/31/2017,FONZ nature camp,
917,92018,1,acru,16.2,5.6,0,,519.5,A,A,A,,,,,,,,,,,,,,,,,,,,7/31/2017,FONZ nature camp,
917,92034,1,acru,2.6,12.6,0,M,179.3999939,A,A,A,,,,,,,,,,,,,,,,,,,,7/31/2017,FONZ nature camp,
917,92034,2,acru,2.6,12.6,0,DS,111,PD,PD,PD,,,,,,,,,,,,,,,,,,,,7/31/2017,FONZ nature camp,
917,92035,1,acru,3.7,13.5,0,,392.2000122,A,A,A,,,,,,,,,,,,,,,,,,,,7/31/2017,FONZ nature camp,
919,92093,1,acru,7.4,9.8,0,,300.1000061,A,A,A,,,,,,,,,,,,,,,,,,,,7/31/2017,FONZ nature camp,
919,92094,1,acru,5.7,9,0,,120.3000031,A,DS,PD,117,4,I,U,DF,,,,0,,,,,,,,,,,7/31/2017,FONZ nature camp,
919,92097,1,acru,0.6,5.5,0,DC,153.1000061,PD,PD,PD,,,,,,,,,,,,,,,,,,,,7/31/2017,FONZ nature camp,
919,92105,1,acru,15.6,8.2,0,,121.6999969,A,A,A,,,,,,,,,,,,,,,,,,,,7/31/2017,FONZ nature camp,
919,92115,1,acru,10.1,19.3,0,,156,A,A,A,,,,,,,,,,,,,,,,,,,,7/31/2017,FONZ nature camp,
920,92124,1,acru,1.3,1.7,1,,167.1999969,A,A,A,,,,,,,,,,,,,,,,,,,,7/31/2017,FONZ nature camp,
920,92145,1,acru,10.4,7.3,0,,208.3000031,A,A,A,,,,,,,,,,,,,,,,,,,,7/31/2017,FONZ nature camp,
921,92205,1,acru,2.4,18.4,0,,177.1000061,A,A,A,,,,,,,,,,,,,,,,,,,,7/31/2017,FONZ nature camp,
923,92270,1,acru,19.8,5.2,0,M,190,A,A,A,,,,,,,,,,,,,,,,,,,,7/31/2017,FONZ nature camp,
925,92388,1,acru,8.8,5.9,0,DC,125.8000031,PD,PD,PD,,,,,,,,,,,,,,,,,,,DC,8/8/2017,Prestipino/Ferson,
926,92411,1,acru,9.6,7,0,,148,A,A,A,,,,,,,,,,,,,,,,,,,,8/8/2017,Prestipino/Ferson,
932,92556,1,acru,2.4,8.4,0,,170,A,A,A,,,,R,,,,,,,,,,,,,,,,8/8/2017,Prestipino/Ferson,
932,92559,1,acru,10.3,6.2,1,,308.8999939,A,A,A,,,,,,,,,,,,,,,,,,,,8/8/2017,Prestipino/Ferson,
1013,101217,1,acru,17.6,13.1,0,,121.5,A,A,A,,,,,,,,,,,,,,,,,,,,7/11/2017,Helcoski/Prestipino,
1015,101184,1,acru,3.3,8.9,0,,200.8000031,A,A,A,,,,,,,,,,,,,,,,,,,,7/31/2017,FONZ nature camp,
1016,101329,1,acru,7.1,19,0,DC,166.1000061,PD,PD,PD,,,,,,,,,,,,,,,,,,,,7/31/2017,FONZ nature camp,
1017,102022,1,acru,14.1,4.5,0,,264.7999878,A,A,A,,,,,,,,,,,,,,,,,,,,7/31/2017,FONZ nature camp,
1017,102024,1,acru,13.3,7.1,0,,225,A,A,A,,,,,,,,,,,,,,,,,,,,7/31/2017,FONZ nature camp,
1019,102124,1,acru,1.7,2.5,1,,363.3999939,A,A,A,,,,,,,,,,,,,,,,,,,,7/31/2017,FONZ nature camp,
1019,102146,1,acru,8,17.4,1,,235,A,A,A,,,,,,,,,,,,,,,,,,,,7/31/2017,FONZ nature camp,
1020,102152,1,acru,9.8,1.4,0,,139.8000031,A,A,A,,,,,,,,,,,,,,,,,,,,7/31/2017,FONZ nature camp,
1101,110249,1,acru,2.2,7.4,0,M,345.5,A,A,A,,,,,,,,,,,,,,,,,,,,7/12/2017,Helcoski,
1102,110496,1,acru,15.7,15.4,0,,249.8999939,A,A,A,,,,,,,,,,,,,,,,,,,,7/12/2017,Helcoski,
1103,110637,1,acru,11.9,10.2,0,,364.5,A,A,A,,,,,,,,,,,,,,,,,,,,7/12/2017,Helcoski,
1104,110770,1,acru,19.3,7.4,0,,153.8999939,A,A,A,,,,,,,,,,,,,,,,,,,,7/12/2017,Helcoski,
1117,112026,1,acru,4.7,16.1,0,,120.3000031,A,A,A,,,,,,,,,,,,,,,,,,,,7/31/2017,FONZ nature camp,
1117,112057,1,acru,8.8,4.2,0,,700.2000122,A,A,A,,,,,,,,,,,,,,,,,,,,7/31/2017,FONZ nature camp,
1118,112084,1,acru,3.2,1.1,0,,114.3000031,A,A,A,,,,,,,,,,,,,,,,,,,,7/31/2017,FONZ nature camp,
1127,112451,1,acru,19.1,9.2,0,,106.1999969,A,A,A,,,,,,,,,,,,,,,,,,,,7/31/2017,FONZ nature camp,
1128,112463,1,acru,11.5,19.3,0,,106.5,A,A,A,,,,,,,,,,,,,,,,,,,,7/31/2017,FONZ nature camp,
1129,112430,1,acru,2.6,5,0,,148.3999939,A,A,A,,,,,,,,,,,,,,,,,,,,8/8/2017,Helcoski/Prestipino,
1129,112465,1,acru,15.1,5.4,0,L,110,A,A,A,,,,,,,,,,,,,,,,,,,,8/8/2017,Helcoski/Prestipino,
1202,120320,1,acru,20,5.5,0,,133,A,A,A,,,,,,,,,,,,,,,,,,,,6/27/2017,Helcoski,
1203,120720,1,acru,5.4,19.2,0,"M,L",104.8000031,A,AU,A,,,,DF,,,,,,,,,,,,,,,40% DF,7/17/2017,Ferson,
1206,120933,1,acru,10.3,10,0,,103.1999969,A,A,A,,,,,,,,,,,,,,,,,,,,7/17/2017,Ferson,
1216,121467,1,acru,19.6,17.8,0,,191.3000031,A,A,A,,,,,,,,,,,,,,,,,,,,8/1/2017,FONZ nature camp,
1217,122006,1,acru,9.9,8.3,0,,395.8999939,A,A,A,,,,,,,,,,,,,,,,,,,,8/1/2017,FONZ nature camp,
1217,122009,1,acru,1.2,4.1,1,,277,A,A,A,,,,,,,,,,,,,,,,,,,,8/1/2017,FONZ nature camp,
1230,122506,1,acru,17.9,4.4,0,,129.1000061,A,A,A,,,,,,,,,,,,,,,,,,,,8/1/2017,Helcoski/Prestipino,
1314,131200,1,acru,1.3,13,0,,105.5,A,A,A,,,,,,,,,,,,,,,,,,,,8/1/2017,FONZ nature camp,
1315,131315,1,acru,8.1,0.9,0,,168.8000031,A,A,A,,,,,,,,,,,,,,,,,,,,8/1/2017,FONZ nature camp,
1316,131362,1,acru,12.1,13.6,0,"I,A",105.6999969,A,A,A,,,,,,,,,,,,,,,,,,,Huge canker still present,8/1/2017,FONZ nature camp,
1316,131364,1,acru,12,12.9,1,,421.1000061,A,A,A,,,,,,,,,,,,,,,,,,,,8/1/2017,FONZ nature camp,
1316,131366,1,acru,5.7,17.6,1,,195.8999939,A,A,A,,,,B,,,,,,,,,,,,,,,,8/1/2017,FONZ nature camp,
1316,131367,1,acru,1.3,19.5,0,DC,121.0999985,PD,PD,PD,,,,,,,,,,,,,,,,,,,,8/1/2017,FONZ nature camp,
1316,131368,1,acru,7.2,19.9,0,,162.6999969,A,A,A,,,,,,,,,,,,,,,,,,,,8/1/2017,FONZ nature camp,
1326,132382,1,acru,14.7,4.7,0,,194.6999969,A,A,A,,,,,,,,,,,,,,,,,,,,8/1/2017,FONZ nature camp,
1330,132457,1,acru,11.1,12.1,0,L,149.5,A,A,A,,,,,,,,,,,,,,,,,,,leaning,8/9/2017,Prestipino,
1331,132467,1,acru,9.4,18.9,0,,177.8000031,A,A,A,,,,,,,,,,,,,,,,,,,,8/9/2017,Prestipino,
1332,132470,1,acru,4,4,1,I,200,A,A,A,,,,,,,,,,,,,,,,,,,,8/9/2017,Prestipino,
1332,132474,1,acru,0,11.2,1,,242.3000031,A,A,A,,,,,,,,,,,,,,,,,,,,8/9/2017,Prestipino,
1332,132549,1,acru,16.4,18.2,1,,197.3000031,A,A,A,,,,,,,,,,,,,,,,,,,,8/9/2017,Prestipino,
1406,140496,1,acru,6,0.2,0,,113.3000031,A,A,A,,,,,,,,,,,,,,,,,,,,6/27/2017,Helcoski,
1416,141247,1,acru,2,3.3,0,"B,I",124.5,A,AU,AU,,,,DF,R,,,,4,,,,,,,,,,75% DF; bark peeling,8/1/2017,FONZ nature camp,
1432,142660,1,acru,19.9,11.9,0,B,132,PD,PD,PD,,,,,,,,,,,,,,,,,,,Dead in 2014.,8/9/2017,Ferson/Prestipino,
1506,150913,1,acru,6.7,19.9,1,,297,A,A,A,,,,,,,,,,,,,,,,,,,,7/14/2017,Prestipino,
1516,151199,1,acru,11.1,0.3,0,A,217,A,A,A,,,,,,,,,,,,,,,,,,,,8/2/2017,FONZ nature camp,
1516,151617,1,acru,10.6,0,0,L,111.5,A,AU,DC,113,1,S,R,I,F,AN,,,,,,,,,,,,too rotted to core,8/2/2017,FONZ nature camp,
1517,152022,1,acru,10,10.5,0,,125,A,A,A,,,,,,,,,,,,,,,,,,,,8/2/2017,FONZ nature camp,
1523,152431,1,acru,0.1,1.1,1,L,235.8000031,A,A,AU,,,,R,B,,,,,,,,,,,,,,leaning; break at base,8/3/2017,FONZ nature camp,
1526,152524,1,acru,0.5,4.3,0,,163,A,A,A,,,,,,,,,,,,,,,,,,,,8/3/2017,FONZ nature camp,
1526,152545,1,acru,19.1,11.4,0,,175,A,A,A,,,,,,,,,,,,,,,,,,,,8/3/2017,FONZ nature camp,
