quadrat,tag,stem,sp,lx,ly,Cored_2009,codes.2013,dbh.2013,status.2015,status.2016,new.status,dbh.if.dead,perc.crown,crown.position,fad1,fad2,fad3,fad4,DF,liana.load,fraxinus.crown thinning,fraxinus.epicormic growth,EABF,VB,SS,AS,W,DE,DE.count,Comments,date,surveyor,
105,10263,1,acne,1.1,15.9,0,M,105.1999969,A,A,A,,,,,,,,,,,,,,,,,,,1 stem of 3,7/18/2017,Helcoski,
106,10346,1,acne,0.600000024,3,0,"C,I",99.09999847,not sampled,A,A,,,,,,,,,,,,,,,,,,,2 stems; sp=acne; prev. caco,7/18/2017,Helcoski,
402,40093,1,acne,3,4.5,0,"M,L",238,A,A,A,,,,,,,,,,,,,,,,,,,,7/17/2017,Helcoski,
1419,142184,1,acne,10.8,10.1,0,,137.5,A,A,A,,,,,,,,,,,,,,,,,,,,8/1/2017,FONZ nature camp,
1621,162218,1,acne,0.2,5.4,0,,225,A,A,A,,,,,,,,,,,,,,,,,,,,8/3/2017,FONZ nature camp,
1720,172071,1,acne,6.3,9.1,0,M,116.0999985,A,A,A,,,,,,,,,,,,,,,,,,,,8/2/2017,FONZ nature camp,
1721,172326,1,acne,19.1,16.3,0,M,141,A,A,A,,,,,,,,,,,,,,,,,,,,8/3/2017,FONZ nature camp,
1903,190172,1,acne,12,7.2,0,DC,182,PD,PD,PD,,,,,,,,,,,,,,,,,,,,6/27/2017,Ferson,
315,30499,1,acpl,17.6,14.8,0,,167,A,A,A,,,,,,,,,,,,,,,,,,,,7/25/2017,Helcoski,
932,92561,1,acpl,16.3,18,0,,181.6000061,A,A,A,,,,,,,,,,,,,,,,,,,,8/8/2017,Prestipino/Ferson,
1611,160818,1,acpl,18.4,15.7,0,,167.6000061,A,A,A,,,,,,,,,,,,,,,,,,,,8/2/2017,FONZ nature camp,
1611,160960,1,acpl,7.3,10,0,,274.1000061,A,A,A,,,,,,,,,,,,,,,,,,,,8/2/2017,FONZ nature camp,
1620,162206,1,acpl,10.2,18.1,0,,329.1000061,A,A,A,,,,,,,,,,,,,,,,,,,,8/3/2017,FONZ nature camp,
1817,182004,1,acpl,15,3.2,0,,102.0999985,A,A,A,,,,,,,,,,,,,,,,,,,,8/10/2017,Prestipino,
2014,201303,1,acpl,14.1,6.4,0,,197.8000031,A,A,A,,,,,,,,,,,,,,,,,,,,8/16/2017,Helcoski/Ferson,
103,10035,1,acru,4.8,10.1,0,,467,A,A,A,,,,,,,,,,,,,,,,,,,,7/18/2017,Helcoski,
103,10036,1,acru,6.2,9.5,0,I,420.7999878,A,A,A,,,,,,,,,,,,,,,,,,,,7/18/2017,Helcoski,
103,10037,1,acru,8.1,13.6,0,,381.2000122,A,A,A,,,,,,,,,,,,,,,,,,,,7/18/2017,Helcoski,
103,10160,1,acru,11.5,2.6,1,M,623.5,A,A,A,,,,,,,,,,,,,,,,,,,,7/18/2017,Helcoski,
103,10160,2,acru,11.5,2.6,1,S,591.0999756,A,A,A,,,,,,,,,,,,,,,,,,,,7/18/2017,Helcoski,
103,10165,1,acru,12.9,18,0,,442.8999939,A,A,A,,,,,,,,,,,,,,,,,,,,7/18/2017,Helcoski,
104,10053,1,acru,4.8,1.2,0,,168.1000061,A,A,A,,,,,,,,,,,,,,,,,,,,7/18/2017,Helcoski,
104,10185,1,acru,10.9,2.7,1,,559.2000122,A,A,A,,,,,,,,,,,,,,,,,,,,7/18/2017,Helcoski,
104,10189,1,acru,12.3,4.5,1,,223.6999969,A,A,A,,,,,,,,,,,,,,,,,,,,7/18/2017,Helcoski,
107,10445,1,acru,17.5,19.9,0,M,206.8000031,A,A,A,,,,,,,,,,,,,,,,,,,,7/18/2017,Helcoski,
108,10463,1,acru,10.6,13.8,0,,154.3000031,A,A,A,,,,,,,,,,,,,,,,,,,,7/18/2017,Helcoski,
109,10484,1,acru,18.8,12.2,0,,261.7999878,A,A,A,,,,,,,,,,,,,,,,,,,,7/18/2017,Helcoski,
110,10488,1,acru,3.2,5.2,1,,311.1000061,A,A,A,,,,,,,,,,,,,,,,,,,,7/18/2017,Helcoski,
113,10701,1,acru,18.3,19.7,0,,102,A,A,A,,,,,,,,,,,,,,,,,,,,7/20/2017,Helcoski,
121,12148,1,acru,0.2,19,0,,100.5999985,A,A,A,,,,,,,,,,,,,,,,,,,,7/20/2017,Helcoski,
122,12155,1,acru,4.7,6.9,0,,184,A,A,A,,,,,,,,,,,,,,,,,,,,7/20/2017,Helcoski,
